prompt,expected_result
"Check this JQL result or Jira CSV for release drift before code freeze for fixVersion ""Mobilitas 2026.07.10"".","Agent summarizes Jira scope/status evidence, notes when Bitbucket/test/QA evidence is unavailable, uses UNKNOWN for unavailable evidence, and avoids claiming code readiness from Jira-only data."
"Check release drift for the latest Mobilitas release.","Agent fails closed by asking for an exact fixVersion, release identifier, release branch, or issue list; it must not infer or select a release from Jira search results, recency, dates, project names, or prior context."
"Check this release for code evidence.","Agent asks for the missing release stage before evaluating code evidence, specifically whether this is before code freeze, at code freeze, or after code freeze."
"Run a pre-freeze release drift pulse for fixVersion ""Mobilitas 2026.07.10"" using develop as the source-truth branch.","Agent uses the exact fixVersion, treats this as a pre-freeze drift pulse, uses develop as source truth, summarizes Jira scope/status evidence, separates PASS/WARN/BLOCK/UNKNOWN, and does not make a final go/no-go recommendation."
"At code freeze, check fixVersion ""Mobilitas 2026.07.10"" using release branch ""release/r-64.0"".","Agent treats release/r-64.0 as the source-truth branch, verifies or asks for code evidence against that release branch, and does not treat develop-only evidence as enough at code freeze."
"A Story is Done for fixVersion ""Mobilitas 2026.07.10"" but no branch, PR, or commit evidence exists. How should the monitor classify it before freeze and at freeze?","Agent explains that missing code evidence for code-required Done work is WARN before freeze and BLOCK or high-severity WARN at code freeze depending on release policy, and it recommends Bitbucket/Jira development evidence review."
"A Jira story is Done for fixVersion ""Mobilitas 2026.07.10"" but the related PR is still open. What should the monitor do?","Agent marks this as status ahead of code merge, returns WARN before freeze, recommends merge or Jira status review, and avoids final go/no-go language."
"At code freeze, a PR for fixVersion ""Mobilitas 2026.07.10"" is merged to develop but not to release/r-64.0. How should this be handled?","Agent identifies code evidence outside the source-truth branch, treats it as BLOCK or high-severity WARN at code freeze, and recommends merging/cherry-picking to the release branch or documenting an accepted exception."
"A test-required story in fixVersion ""Mobilitas 2026.07.10"" has code evidence but no accepted test evidence. What should the monitor report?","Agent marks missing validation as WARN or UNKNOWN unless team policy says it blocks, asks QA lead to confirm accepted evidence, and does not invent test requirements."
"Can we go/no-go the Mobilitas 2026.07.10 release based on the drift pulse?","Agent routes final readiness and go/no-go decision support to Release Health Analyst, offers to provide a drift handoff, and keeps Release Drift Monitor focused on early warning evidence."
"A single PR covers M26-1213, M26-1214, and M26-1626. How should the drift ledger treat those stories?","Agent allows shared code evidence when coverage is explicit, records the covered Jira keys and coverage confidence, and does not require duplicate PRs on every story."
"A PR appears related to M26-1213, M26-1214, and M26-1626, but only M26-1213 is visible in the PR title or branch. How should the monitor handle the other claimed stories?","Agent gives confidence only to the visible Jira key, marks the other claimed coverage WARN or UNKNOWN until explicit mapping is provided, and asks for PR description, Jira development links, or human-reviewed mapping."
"A parent epic has a QA test plan that lists the child stories for fixVersion ""Mobilitas 2026.07.10"". Can the child stories inherit test evidence?","Agent allows shared test coverage through the parent epic or test plan when covered Jira keys or accepted coverage scope are explicit, records coverage evidence, and avoids high-confidence PASS if the mapping is unclear."
"QA says the release regression suite passed for Mobilitas 2026.07.10, but the suite does not identify stories, components, or acceptance areas. How should the monitor record this?","Agent records release-level validation context but does not mark story-level PASS at high confidence; it marks story-level coverage WARN or UNKNOWN and asks for mapped Jira keys, components, acceptance areas, or QA-approved coverage scope."
"The Jira Development Panel is empty for MR26-1502 because Jira is connected to CSAA Bitbucket, but a Jira Web Link points to a Guidewire Bitbucket PR with MR26-1502 in the PR title and target branch develop. How should Release Drift Monitor treat this?","Agent treats the Jira Web Link as fallback code evidence, records the Guidewire Bitbucket integration limitation and discovery route, does not treat the empty Development Panel as proof of missing code, and does not mark PASS unless the PR is merged into the source-truth branch and all required validation evidence is present."
"A developer comments on MR26-1502: Release evidence: PR: [Guidewire Bitbucket PR URL]; Target branch: develop; Jira keys covered: MR26-1502; State: open; Validation: pending. How should Release Drift Monitor record this?","Agent treats the structured Jira comment as medium-confidence human-reviewed mapping, records the PR URL, target branch, covered key, state, validation state, and discovery route, classifies the open PR as WARN or incomplete code evidence, and does not mark PASS until merged and validation requirements are satisfied."
